P_NAME,P_STATUS,P_MASS,P_MASS_ERROR_MIN,P_MASS_ERROR_MAX,P_RADIUS,P_RADIUS_ERROR_MIN,P_RADIUS_ERROR_MAX,P_YEAR,P_UPDATED,P_PERIOD,P_PERIOD_ERROR_MIN,P_PERIOD_ERROR_MAX,P_SEMI_MAJOR_AXIS,P_SEMI_MAJOR_AXIS_ERROR_MIN,P_SEMI_MAJOR_AXIS_ERROR_MAX,P_ECCENTRICITY,P_ECCENTRICITY_ERROR_MIN,P_ECCENTRICITY_ERROR_MAX,P_INCLINATION,P_INCLINATION_ERROR_MIN,P_INCLINATION_ERROR_MAX,P_OMEGA,P_OMEGA_ERROR_MIN,P_OMEGA_ERROR_MAX,P_TPERI,P_TPERI_ERROR_MIN,P_TPERI_ERROR_MAX,P_ANGULAR_DISTANCE,P_IMPACT_PARAMETER,P_IMPACT_PARAMETER_ERROR_MIN,P_IMPACT_PARAMETER_ERROR_MAX,P_TEMP_MEASURED,P_GEO_ALBEDO,P_GEO_ALBEDO_ERROR_MIN,P_GEO_ALBEDO_ERROR_MAX,P_DETECTION,P_DETECTION_MASS,P_DETECTION_RADIUS,P_ALT_NAMES,P_ATMOSPHERE,S_NAME,S_RA,S_DEC,S_MAG,S_DISTANCE,S_DISTANCE_ERROR_MIN,S_DISTANCE_ERROR_MAX,S_METALLICITY,S_METALLICITY_ERROR_MIN,S_METALLICITY_ERROR_MAX,S_MASS,S_MASS_ERROR_MIN,S_MASS_ERROR_MAX,S_RADIUS,S_RADIUS_ERROR_MIN,S_RADIUS_ERROR_MAX,S_TYPE,S_AGE,S_AGE_ERROR_MIN,S_AGE_ERROR_MAX,S_TEMPERATURE,S_TEMPERATURE_ERROR_MIN,S_TEMPERATURE_ERROR_MAX,S_DISC,S_MAGNETIC_FIELD,S_LOG_G,S_ALT_NAMES,P_ESCAPE,P_POTENTIAL,P_GRAVITY,P_DENSITY,P_HILL_SPHERE,P_DISTANCE,P_PERIASTRON,P_APASTRON,P_DISTANCE_EFF,P_FLUX,P_FLUX_MIN,P_FLUX_MAX,P_TEMP_EQUIL,P_TEMP_EQUIL_MIN,P_TEMP_EQUIL_MAX,P_TYPE,S_RADIUS_EST,S_TYPE_TEMP,S_RA_H,S_RA_T,S_DEC_T,S_LUMINOSITY,S_HZ_OPT_MIN,S_HZ_OPT_MAX,S_HZ_CON_MIN,S_HZ_CON_MAX,S_HZ_CON0_MIN,S_HZ_CON0_MAX,S_HZ_CON1_MIN,S_HZ_CON1_MAX,S_SNOW_LINE,S_ABIO_ZONE,S_TIDAL_LOCK,P_HABZONE_OPT,P_HABZONE_CON,P_TYPE_TEMP,P_HABITABLE,P_ESI,S_CONSTELLATION,S_CONSTELLATION_ABR,S_CONSTELLATION_ENG,P_RADIUS_EST,P_MASS_EST,P_SEMI_MAJOR_AXIS_EST
K2-150 b,3.0,,,,1.99538,-0.21299,0.26904,2018,2018-02-01,10.59357,-0.00084,0.00084,0.0727,-0.0027,0.0027,,,,,,,,,,,,,0.661,,,,,,,,Transit,,,,,K2-150,18.344175,8.987539,15.829,110.0,-15.0,15.0,0.09,-0.12,0.12,0.46,-0.05,0.05,0.44,-0.04,0.04,M2.5 V,,,,3499.0,-70.0,70.0,,,4.82,",",,,,,,0.0727,0.0727,0.0727,0.072700002,4.9192733,4.9192733,4.9192733,379.41994,379.41994,379.41994,Superterran,0.44,M,1.2229451,01 13 22.6022,+08 59 15.1404,0.025999786,0.13188383,0.34225632,0.16704988,0.32448363,0.17710185,0.32448363,0.16124744,0.32448363,0.43536013,0.031217639,0.35612604,0,0,Hot,0,0.47615343,Pisces,Psc,Fishes,1.99538,4.6394796,0.0727
K2-151 b,3.0,,,,1.49093,-0.07847,0.07847,2018,2018-10-26,3.835476,-0.000256,0.000266,0.0373,-0.0002,0.0002,,,,,,,,,,,,,0.536,0.44,-0.29,0.32,,,,,Transit,,,,,K2-151,19.304525,9.501381,14.14,69.61,-0.15,0.15,-0.19,-0.07,0.07,0.47,-0.01,0.01,0.45,-0.01,0.01,M1.5 V,,,,3695.0,-32.0,32.0,,,4.8,",",,,,,,0.0373,0.0373,0.0373,0.037300001,24.308255,24.308255,24.308255,565.69632,565.69632,565.69632,Terran,0.45,M,1.2869684,01 17 13.0862,+09 30 04.9716,0.033819832,0.15000702,0.38551291,0.19000635,0.36549565,0.20139515,0.36549565,0.18341372,0.36549565,0.49653457,0.044030389,0.35868819,0,0,Hot,0,0.33402811,Pisces,Psc,Fishes,1.49093,2.8286707,0.0373
K2-152 b,3.0,,,,2.28684,-0.23541,0.24662,2018,2018-07-12,32.6479,-0.01483,0.01141,0.1716,-0.0012,0.0012,,,,,,,,,,,,,1.58,0.25,-0.17,0.24,,,,,Transit,,,,,K2-152,181.6328,-5.82741,13.728,108.7,-0.4,0.4,0.12,-0.08,0.09,0.63,-0.01,0.01,0.61,-0.01,0.01,M0.0 V,,,,4044.0,-35.0,34.0,,,4.67,",",,,,,,0.1716,0.1716,0.1716,0.1716,3.0280172,3.0280172,3.0280172,336.07367,336.07367,336.07367,Superterran,0.61,M,12.108854,12 06 31.8736,-05 49 38.6760,0.08916469,0.24195476,0.61106902,0.30647335,0.57934362,0.32470811,0.57934362,0.29585613,0.57934362,0.80623236,0.088422322,0.39548618,0,0,Hot,0,0.54901654,Virgo,Vir,Virgin,2.28684,5.8478451,0.1716
K2-153 b,3.0,,,,1.99538,-0.17936,0.21299,2018,2018-07-12,7.51574,-0.0024,0.00205,0.0614,-0.0004,0.0004,,,,,,,,,,,,,0.428,0.42,-0.29,0.35,,,,,Transit,,,,,K2-153,183.80919,2.020953,14.979,143.6,-0.9,0.9,-0.09,-0.08,0.08,0.55,-0.01,0.01,0.53,-0.01,0.01,M3.0 V,,,,3845.0,-37.0,37.0,,,4.73,",",,,,,,0.0614,0.0614,0.0614,0.061400002,14.591133,14.591133,14.591133,497.92871,497.92871,497.92871,Superterran,0.53,M,12.253947,12 15 14.2077,+02 01 15.4308,0.055007988,0.1908255,0.48674747,0.24170967,0.46147508,0.25615245,0.46147508,0.23332925,0.46147508,0.63325212,0.060037853,0.37798279,0,0,Hot,0,0.34033121,Virgo,Vir,Virgin,1.99538,4.6394796,0.0614
K2-154 b,3.0,,,,1.99538,-0.1121,0.21299,2018,2018-07-12,3.67626,-0.00031,0.0003,0.0405,-0.0003,0.0003,,,,,,,,,,,,,0.312,0.44,-0.3,0.33,,,,,Transit,,,,,K2-154,189.00151,-2.669481,14.033,129.8,-0.4,0.4,0.21,-0.1,0.09,0.65,-0.01,0.02,0.63,-0.01,0.01,M0.0 V,,,,4097.0,-45.0,40.0,,,4.65,",",,,,,,0.0405,0.0405,0.0405,0.040500001,61.08345,61.08345,61.08345,712.23908,712.23908,712.23908,Superterran,0.63,M,12.600101,12 36 00.3650,-02 40 10.1316,0.10019213,0.2561594,0.64524836,0.32446585,0.6117489,0.34374892,0.6117489,0.31322738,0.6117489,0.8546348,0.097865685,0.39962769,0,0,Hot,0,0.2764549,Virgo,Vir,Virgin,1.99538,4.6394796,0.0405
K2-154 c,3.0,,,,2.07385,-0.13452,0.17936,2018,2018-07-12,7.95486,-0.00085,0.00084,0.0677,-0.0005,0.0005,,,,,,,,,,,,,0.522,0.42,-0.27,0.31,,,,,Transit,,,,,K2-154,189.00151,-2.669481,14.033,129.8,-0.4,0.4,0.21,-0.1,0.09,0.65,-0.01,0.02,0.63,-0.01,0.01,M0.0 V,,,,4097.0,-45.0,40.0,,,4.65,",",,,,,,0.0677,0.0677,0.0677,0.067700002,21.860307,21.860307,21.860307,550.8825,550.8825,550.8825,Superterran,0.63,M,12.600101,12 36 00.3650,-02 40 10.1316,0.10019213,0.2561594,0.64524836,0.32446585,0.6117489,0.34374892,0.6117489,0.31322738,0.6117489,0.8546348,0.097865685,0.39962769,0,0,Hot,0,0.30908616,Virgo,Vir,Virgin,2.07385,4.9534779,0.0677
K2-155 b,3.0,,,,1.80481,-0.10089,0.20178,2018,2018-04-26,6.342,-0.002,0.002,0.0562,-0.0014,0.0013,,,,88.3,-1.9,1.2,,,,,,,0.685,0.34,-0.23,0.24,,,,,Transit,,,,,K2-155,65.468697,21.3536,12.806,82.0,-12.0,29.0,-0.3,-0.2,0.2,0.65,-0.03,0.06,0.58,-0.03,0.06,K7,,,,4258.0,-150.0,150.0,,,4.6,",",,,,,,0.0562,0.0562,0.0562,0.056200001,31.368563,31.368563,31.368563,602.93232,602.93232,602.93232,Superterran,0.58,K,4.36458,04 21 52.4881,+21 21 12.9600,0.099075726,0.25364976,0.63391066,0.32128716,0.60100103,0.3403141,0.60100103,0.31016396,0.60100103,0.84986003,0.12904923,0.39962769,0,0,Hot,0,0.30625106,Taurus,Tau,Bull,1.80481,3.9125102,0.0562
K2-155 c,3.0,,,,2.60072,-0.20178,0.69502,2018,2018-04-26,13.85,-0.006,0.006,0.0946,-0.003,0.0031,,,,88.96,-0.88,0.71,,,,,,,1.15,0.45,-0.31,0.37,,,,,Transit,,,,,K2-155,65.468697,21.3536,12.806,82.0,-12.0,29.0,-0.3,-0.2,0.2,0.65,-0.03,0.06,0.58,-0.03,0.06,K7,,,,4258.0,-150.0,150.0,,,4.6,",",,,,,,0.0946,0.0946,0.0946,0.094600002,11.070953,11.070953,11.070953,464.71978,464.71978,464.71978,Neptunian,0.58,K,4.36458,04 21 52.4881,+21 21 12.9600,0.099075726,0.25364976,0.63391066,0.32128716,0.60100103,0.3403141,0.60100103,0.31016396,0.60100103,0.84986003,0.12904923,0.39962769,0,0,Hot,0,0.3315287,Taurus,Tau,Bull,2.60072,7.2749643,0.0946
K2-155 d,3.0,,,,1.9057,-0.20178,0.69502,2018,2018-04-26,40.718,-0.005,0.005,0.1937,-0.0059,0.0064,,,,89.61,-0.48,0.27,,,,,,,2.36,0.44,-0.3,0.33,,,,,Transit,,,,,K2-155,65.468697,21.3536,12.806,82.0,-12.0,29.0,-0.3,-0.2,0.2,0.65,-0.03,0.06,0.58,-0.03,0.06,K7,,,,4258.0,-150.0,150.0,,,4.6,",",,,,,,0.1937,0.1937,0.1937,0.1937,2.6406328,2.6406328,2.6406328,324.76702,324.76702,324.76702,Superterran,0.58,K,4.36458,04 21 52.4881,+21 21 12.9600,0.099075726,0.25364976,0.63391066,0.32128716,0.60100103,0.3403141,0.60100103,0.31016396,0.60100103,0.84986003,0.12904923,0.39962769,0,0,Hot,0,0.61254915,Taurus,Tau,Bull,1.9057,4.2910395,0.1937
K2-156 b,3.0,,,,1.15463,-0.06726,0.10089,2018,2018-07-12,0.81314,-8e-05,7e-05,0.0149,-0.0001,0.0001,,,,,,,,,,,,,0.0991,0.41,-0.27,0.32,,,,,Transit,,,,,K2-156,182.70018,-6.294205,13.424,150.4,-1.0,1.0,-0.25,-0.06,0.06,0.66,-0.01,0.02,0.66,-0.01,0.01,,,,,4597.0,-50.0,50.0,,,4.62,",",,,,,,0.0149,0.0149,0.0149,0.0149,785.05846,785.05846,785.05846,1348.5604,1348.5604,1348.5604,Terran,0.66,K,12.180013,12 10 48.0455,-06 17 39.1380,0.17429083,0.33268395,0.81829029,0.42139572,0.77581096,0.44616625,0.77581096,0.40681415,0.77581096,1.1272002,0.23222,0.40166665,0,0,Hot,0,0.29286912,Virgo,Vir,Virgin,1.15463,1.6270695,0.0149
K2-157 b,3.0,,,,1.05374,-0.10089,0.14573,2018,2018-02-15,0.365257,-2.9e-05,2.9e-05,,,,,,,76.711,-18.255,9.693,,,,,,,,,,,,,,,Transit,,,,,K2-157,183.75134,-5.781991,12.823,300.88,-4.56,4.56,0.13,-0.08,0.08,0.94,-0.03,0.02,0.88,-0.03,0.05,,,,,5456.0,-50.0,50.0,,,4.55,",",,,,,,0.0097937989,0.0097937989,0.0097937989,0.0097937991,6409.8679,6409.8679,6409.8679,2279.5923,2279.5923,2279.5923,Terran,0.88,G,12.25009,12 15 00.3246,-05 46 55.1676,0.61482488,0.59964466,1.4261687,0.75953078,1.3521373,0.80340603,1.3521373,0.73321298,1.3521373,2.1170908,1.1429035,0.4519188,0,0,Hot,0,0.29287171,Virgo,Vir,Virgin,1.05374,1.1724075,0.0097937989
K2-158 b,3.0,,,,2.64556,-0.10089,0.15694,2018,2018-07-12,10.06049,-0.00148,0.00134,0.0887,-0.0008,0.0008,,,,,,,,,,,,,0.448,0.38,-0.27,0.31,,,,,Transit,,,,,K2-158,179.93999,-5.721709,11.774,198.2,-2.1,2.1,0.07,-0.07,0.07,0.92,-0.02,0.03,0.95,-0.02,0.02,,,,,5503.0,-48.0,51.0,,,4.45,",",,,,,,0.0887,0.0887,0.0887,0.088700002,94.251152,94.251152,94.251152,793.81002,793.81002,793.81002,Neptunian,0.95,G,11.996,11 59 45.5991,-05 43 18.1524,0.74153885,0.65678588,1.5597404,0.83190683,1.4787754,0.87992194,1.4787754,0.80307654,1.4787754,2.3250416,1.2301662,0.4486907,0,0,Hot,0,0.23770176,Virgo,Vir,Virgin,2.64556,7.4891982,0.0887
K2-158 c,3.0,,,,1.27794,-0.10089,0.13452,2018,2018-07-12,5.90279,-0.00233,0.00191,0.0622,-0.0006,0.0006,,,,,,,,,,,,,0.314,0.41,-0.28,0.34,,,,,Transit,,,,,K2-158,179.93999,-5.721709,11.774,198.2,-2.1,2.1,0.07,-0.07,0.07,0.92,-0.02,0.03,0.95,-0.02,0.02,,,,,5503.0,-48.0,51.0,,,4.45,",",,,,,,0.0622,0.0622,0.0622,0.062200002,191.66956,191.66956,191.66956,947.94512,947.94512,947.94512,Terran,0.95,G,11.996,11 59 45.5991,-05 43 18.1524,0.74153885,0.65678588,1.5597404,0.83190683,1.4787754,0.87992194,1.4787754,0.80307654,1.4787754,2.3250416,1.2301662,0.4486907,0,0,Hot,0,0.2949347,Virgo,Vir,Virgin,1.27794,2.1773119,0.0622
K2-159 b,3.0,,,,2.26442,-0.1121,0.16815,2018,2018-07-12,12.42205,-0.00182,0.0018,0.1013,-0.0009,0.0008,,,,,,,,,,,,,0.589,0.44,-0.3,0.3,,,,,Transit,,,,,K2-159,180.54089,-3.580723,11.994,171.9,-1.3,1.4,-0.07,-0.06,0.06,0.9,-0.03,0.02,0.83,-0.01,0.01,,,,,5425.0,-44.0,44.0,,,4.56,",",,,,,,0.1013,0.1013,0.1013,0.1013,52.098463,52.098463,52.098463,684.46483,684.46483,684.46483,Superterran,0.83,G,12.03606,12 02 09.8168,-03 34 50.6028,0.53461828,0.5601424,1.3335589,0.7094964,1.2643346,0.75050472,1.2643346,0.68491482,1.2643346,1.9741751,1.0680333,0.44541547,0,0,Hot,0,0.26647619,Virgo,Vir,Virgin,2.26442,5.7508411,0.1013
K2-16 b,3.0,,,,2.0178,-0.23541,0.23541,2015,2016-07-07,7.6188,-0.00087,0.00087,0.0667,-0.0011,0.0011,,,,87.97,-1.86,1.47,,,,,,,0.197,0.68,-0.43,0.18,,,,,Transit,,,,,K2-16,175.09726,4.55734,14.67,338.19,-4.23,4.23,,,,0.67,-0.04,0.03,,,,K3 V,,,,,,,,,,",",,,,,,0.0667,0.0667,0.0667,0.066700002,,,,,,,Superterran,,K,11.673151,11 40 23.3446,+04 33 26.4240,,,,,,,,,,,,0.40368511,0,0,,0,,Virgo,Vir,Virgin,2.0178,4.7283306,0.0667
K2-16 c,3.0,,,,2.54467,-0.47082,1.121,2015,2016-07-07,19.07863,-0.00327,0.00327,0.1229,-0.0021,0.0021,,,,87.83,-1.68,1.68,,,,,,,0.363,0.86,-0.46,0.07,,,,,Transit,,,,,K2-16,175.09726,4.55734,14.67,338.19,-4.23,4.23,,,,0.67,-0.04,0.03,,,,K3 V,,,,,,,,,,",",,,,,,0.1229,0.1229,0.1229,0.1229,,,,,,,Neptunian,,K,11.673151,11 40 23.3446,+04 33 26.4240,,,,,,,,,,,,0.40368511,0,0,,0,,Virgo,Vir,Virgin,2.54467,7.010777,0.1229
K2-160 b,3.0,,,,3.18364,-0.14573,0.21299,2018,2018-02-15,3.705871,-7.6e-05,7.4e-05,,,,,,,88.254,-2.13,1.197,,,,,,,,,,,,,,,Transit,,,,,K2-160,184.05458,-3.553082,12.649,318.19,-4.5,4.5,0.07,-0.08,0.08,0.98,-0.03,0.02,0.91,-0.03,0.04,,,,,5649.0,-50.0,50.0,,,4.61,",",,,,,,0.046542007,0.046542007,0.046542007,0.046542008,348.7928,348.7928,348.7928,1100.9987,1100.9987,1100.9987,Neptunian,0.91,G,12.270306,12 16 13.1017,-03 33 11.0952,0.75554047,0.65735242,1.5542438,0.83262124,1.4735643,0.8805539,1.4735643,0.80375058,1.4735643,2.3468895,1.6145187,0.45824016,0,0,Hot,0,0.20595139,Virgo,Vir,Virgin,3.18364,10.255306,0.046542007
K2-161 b,3.0,,,,6.12066,-0.7847,1.63666,2018,2018-02-15,9.283188,-0.0023,0.002052,,,,,,,87.251,-5.633,1.991,,,,,,,,,,,,,,,Transit,,,,,K2-161,183.79384,-3.495612,12.631,941.09,-47.72,47.72,-0.03,-0.08,0.08,0.99,-0.06,0.08,2.57,-0.25,0.31,,,,,4972.0,-50.0,50.0,,,3.63,",",,,,,,0.086136269,0.086136269,0.086136269,0.086136271,487.4244,487.4244,487.4244,1197.076,1197.076,1197.076,Jovian,2.57,K,12.252923,12 15 10.5237,-03 29 44.2032,3.6164243,1.4915078,3.6101449,1.8892157,3.4227408,1.9993854,3.4227408,1.8238322,3.4227408,5.1345627,0.50628019,0.45979353,0,0,Hot,0,0.13138876,Virgo,Vir,Virgin,6.12066,31.110601,0.086136269
K2-162 b,3.0,,,,1.43488,-0.06726,0.1121,2018,2018-07-12,9.45889,-0.00107,0.00104,0.0795,-0.0006,0.0006,,,,,,,,,,,,,0.635,0.41,-0.29,0.3,,,,,Transit,,,,,K2-162,186.03867,-1.111351,12.3,125.1,-0.6,0.6,-0.17,-0.06,0.05,0.75,-0.02,0.02,0.69,-0.01,0.01,,,,,4842.0,-45.0,49.0,,,4.63,",",,,,,,0.0795,0.0795,0.0795,0.079500002,37.098104,37.098104,37.098104,628.75701,628.75701,628.75701,Terran,0.69,K,12.402578,12 24 09.2822,-01 06 40.8636,0.23446929,0.38203154,0.9296543,0.48390063,0.88139508,0.51219605,0.88139508,0.46715576,0.88139508,1.3073948,0.3691512,0.419152,0,0,Hot,0,0.31821441,Virgo,Vir,Virgin,1.43488,2.6505029,0.0795
K2-163 b,3.0,,,,2.4662,-0.12331,0.25783,2018,2018-02-15,6.673117,-0.000303,0.000316,,,,,,,88.253,-2.188,1.28,,,,,,,,,,,,,,,Transit,,,,,K2-163,182.32935,-0.539055,13.129,209.67,-4.18,4.18,0.14,-0.08,0.08,0.83,-0.02,0.02,0.76,-0.01,0.02,,,,,4937.0,-50.0,50.0,,,4.71,",",,,,,,0.065176056,0.065176056,0.065176056,0.065176058,72.375601,72.375601,72.375601,743.09263,743.09263,743.09263,Superterran,0.76,K,12.15529,12 09 19.0453,+00 32 20.5980,0.30744564,0.43559164,1.0558286,0.55174172,1.0010199,0.58393989,1.0010199,0.53264747,1.0010199,1.4970901,0.44952906,0.43355463,0,0,Hot,0,0.24994759,Virgo,Vir,Virgin,2.4662,6.6476898,0.065176056
K2-164 b,3.0,,,,3.2509,-0.41477,0.51566,2018,2018-02-15,17.355066,-0.003808,0.004097,,,,,,,87.89,-3.662,1.532,,,,,,,,,,,,,,,Transit,,,,,K2-164,171.93367,-0.06284,11.235,379.64,-7.66,7.66,-0.23,-0.08,0.08,1.18,-0.06,0.09,2.2,-0.25,0.31,,,,,5791.0,-50.0,50.0,,,3.81,",",,,,,,0.13859719,0.13859719,0.13859719,0.13859719,253.8864,253.8864,253.8864,1016.9621,1016.9621,1016.9621,Neptunian,2.2,G,11.462245,11 27 44.0830,+00 03 46.2240,4.8769496,1.6560185,3.9001864,2.097552,3.6977313,2.2180159,3.6977313,2.0247789,3.6977313,5.9626306,2.1921847,0.48750431,0,0,Hot,0,0.20477972,Leo,Leo,Lion,3.2509,10.625858,0.13859719
K2-165 b,3.0,,,,1.27794,-0.10089,0.14573,2018,2018-02-15,2.354992,-0.000261,0.000246,,,,,,,87.083,-4.383,2.151,,,,,,,,,,,,,,,Transit,,,,,K2-165,184.90033,0.968397,11.331,135.1,-1.19,1.19,-0.05,-0.08,0.08,0.83,-0.03,0.03,0.8,-0.03,0.05,,,,,5185.0,-50.0,50.0,,,4.46,",",,,,,,0.032548317,0.032548317,0.032548317,0.032548318,391.20698,391.20698,391.20698,1133.0434,1133.0434,1133.0434,Terran,0.8,K,12.326689,12 19 36.0815,+00 58 06.2292,0.41444191,0.49961958,1.1994348,0.63283958,1.1371724,0.66958526,1.1371724,0.61092884,1.1371724,1.7381834,0.68832735,0.43355463,0,0,Hot,0,0.29122831,Virgo,Vir,Virgin,1.27794,2.1773119,0.032548317
K2-165 c,3.0,,,,1.55819,-0.1121,0.21299,2018,2018-02-15,4.382745,-0.000536,0.000514,,,,,,,87.054,-4.971,2.053,,,,,,,,,,,,,,,Transit,,,,,K2-165,184.90033,0.968397,11.331,135.1,-1.19,1.19,-0.05,-0.08,0.08,0.83,-0.03,0.03,0.8,-0.03,0.05,,,,,5185.0,-50.0,50.0,,,4.46,",",,,,,,0.049245481,0.049245481,0.049245481,0.049245482,170.89561,170.89561,170.89561,921.14422,921.14422,921.14422,Superterran,0.8,K,12.326689,12 19 36.0815,+00 58 06.2292,0.41444191,0.49961958,1.1994348,0.63283958,1.1371724,0.66958526,1.1371724,0.61092884,1.1371724,1.7381834,0.68832735,0.43355463,0,0,Hot,0,0.28429216,Virgo,Vir,Virgin,1.55819,3.0487196,0.049245481
K2-165 d,3.0,,,,2.64556,-0.14573,0.25783,2018,2018-02-15,14.101361,-0.001065,0.001146,,,,,,,89.002,-1.166,0.722,,,,,,,,,,,,,,,Transit,,,,,K2-165,184.90033,0.968397,11.331,135.1,-1.19,1.19,-0.05,-0.08,0.08,0.83,-0.03,0.03,0.8,-0.03,0.05,,,,,5185.0,-50.0,50.0,,,4.46,",",,,,,,0.10732715,0.10732715,0.10732715,0.10732716,35.978615,35.978615,35.978615,623.95895,623.95895,623.95895,Neptunian,0.8,K,12.326689,12 19 36.0815,+00 58 06.2292,0.41444191,0.49961958,1.1994348,0.63283958,1.1371724,0.66958526,1.1371724,0.61092884,1.1371724,1.7381834,0.68832735,0.43355463,0,0,Hot,0,0.25888423,Virgo,Vir,Virgin,2.64556,7.4891982,0.10732715
K2-166 b,3.0,,,,2.18595,-0.19057,0.20178,2018,2018-07-12,8.52695,-0.0037,0.00362,0.0858,-0.0009,0.001,,,,,,,,,,,,,0.178,0.4,-0.28,0.32,,,,,Transit,,,,,K2-166,185.18829,2.282436,12.074,481.0,-8.9,9.7,,,,1.07,-0.03,0.03,,,,,,,,,,,,,,",",,,,,,0.0858,0.0858,0.0858,0.085800002,,,,,,,Superterran,,,12.345887,12 20 45.1926,+02 16 56.7696,,,,,,,,,,,,0.47185916,0,0,,0,,Virgo,Vir,Virgin,2.18595,5.4165988,0.0858
K2-167 b,3.0,,,,2.82492,-0.4484,0.51566,2018,2018-02-15,9.977481,-0.001007,0.001039,,,,,,,88.604,-1.97,1.001,,,,,,,,,,,,,,,Transit,,,,,K2-167,336.57578,-18.011171,8.239,81.08,-0.47,0.47,-0.45,-0.08,0.08,1.02,-0.09,0.12,1.83,-0.28,0.29,F7 V,,,,5908.0,-50.0,50.0,,,3.88,"HD 212657, HIP 110758",,,,,,0.091283067,0.091283067,0.091283067,0.091283069,438.70474,438.70474,438.70474,1165.9717,1165.9717,1165.9717,Neptunian,1.83,F,22.438386,22 26 18.1902,-18 00 40.2156,3.6555504,1.4236098,3.3429009,1.8031718,3.1693742,1.9065337,3.1693742,1.740581,3.1693742,5.1622634,2.5531657,0.46439177,0,0,Hot,0,0.21943588,Aquarius,Aqr,Water Carrier,2.82492,8.3714933,0.091283067
K2-168 b,3.0,,,,1.86086,-0.1121,0.23541,2018,2019-08-15,15.8523,-0.0012,0.0025,,,,,,,89.4,-0.25,0.46,,,,,,,,0.32,-0.11,0.2,,,,,Transit,,,,,K2-168,333.10989,-16.341755,12.291,245.56,-4.19,4.19,,,,0.88,-0.03,0.06,0.83,-0.04,0.09,,,,,5502.7,-50.5,101.0,,,,",",,,,,,0.11832195,0.11832195,0.11832195,0.11832195,40.421978,40.421978,40.421978,642.39078,642.39078,642.39078,Superterran,0.83,G,22.207327,22 12 26.3787,-16 20 30.3180,0.56591105,0.57377074,1.3626082,0.7267571,1.2918762,0.76870352,1.2918762,0.70157088,1.2918762,2.0311307,1.2114483,0.44209135,0,0,Hot,0,0.29419878,Aquarius,Aqr,Water Carrier,1.86086,4.1210313,0.11832195
K2-169 b,3.0,,,,1.27794,-0.07847,0.1121,2018,2018-02-15,6.380803,-0.000699,0.000778,,,,,,,87.837,-3.587,1.575,,,,,,,,,,,,,,,Transit,,,,,K2-169,337.04428,-14.599381,12.229,237.35,-4.63,4.63,0.26,-0.08,0.08,0.99,-0.03,0.03,0.92,-0.03,0.05,,,,,5548.0,-50.0,50.0,,,4.56,",",,,,,,0.06708697,0.06708697,0.06708697,0.067086972,159.63707,159.63707,159.63707,905.58318,905.58318,905.58318,Terran,0.92,G,22.46962,22 28 10.6317,-14 35 57.7716,0.71847244,0.64481854,1.5291879,0.81674766,1.4498089,0.86384981,1.4498089,0.78843817,1.4498089,2.2885944,1.3619303,0.45979353,0,0,Hot,0,0.29638736,Aquarius,Aqr,Water Carrier,1.27794,2.1773119,0.06708697
K2-17 b,3.0,,,,2.23079,-0.20178,0.20178,2015,2015-07-16,17.96753,-0.00152,0.00152,0.119,-0.002,0.002,,,,,,,,,,,,,0.948,,,,,,,,Transit,,,,,K2-17,178.32977,6.412261,13.519,125.56,-0.66,0.66,0.15,-0.22,0.09,0.71,-0.05,0.02,0.66,-0.03,0.02,K7,,,,4320.0,-47.0,56.0,,,,",",,,,,,0.119,0.119,0.119,0.119,9.5988141,9.5988141,9.5988141,448.4348,448.4348,448.4348,Superterran,0.66,K,11.888652,11 53 19.1478,+06 24 44.1396,0.13592881,0.29656408,0.73894754,0.37564486,0.70058537,0.39786061,0.70058537,0.36264161,0.70058537,0.99545017,0.14784152,0.41156387,0,0,Hot,0,0.36622763,Virgo,Vir,Virgin,2.23079,5.6065874,0.119
K2-170 b,3.0,,,,1.42367,-0.13452,0.20178,2018,2018-02-15,7.576544,-0.00169,0.001841,,,,,,,87.989,-3.339,1.423,,,,,,,,,,,,,,,Transit,,,,,K2-170,335.45071,-14.593286,12.633,397.26,-6.49,6.49,-0.11,-0.08,0.08,0.96,-0.03,0.03,0.98,-0.07,0.11,,,,,5748.0,-50.0,50.0,,,4.34,",",,,,,,0.074458463,0.074458463,0.074458463,0.074458465,169.42586,169.42586,169.42586,919.15729,919.15729,919.15729,Terran,0.98,G,22.363382,22 21 48.1756,-14 35 35.8296,0.9393076,0.72864591,1.7180495,0.92292113,1.6288671,0.97596299,1.6288671,0.89090673,1.6288671,2.6167829,1.9007448,0.45510143,0,0,Hot,0,0.29034378,Aquarius,Aqr,Water Carrier,1.42367,2.6154425,0.074458463
